Rank;Name;Team;Match;WWCD;Elims;Placement;Total;Survival Time;Max elim range;In Damage;Heal;Headshot;Drive distance;Death;Damage;Assist;Air drop;Moving distance;Region ;Week;Day
1;NGX.LORD;Nigma Galaxy;5;0;17;37;54;6817;118;1020;790;5;29154;5;2531;1;0;41193;PMGC East;Weekday 1;1
2;NVOrder;Nova Esports;5;1;10;36;46;5848;221;1031;353;4;12061;5;1395;6;3;24898;PMGC East;Weekday 1;1
3;NGX.FREAK;Nigma Galaxy;5;0;7;37;44;7091;174;1308;1086;1;26932;5;1047;3;0;39540;PMGC East;Weekday 1;1
4;NVParaboyyy6;Nova Esports;5;1;7;36;43;5987;69;1579;754;1;15950;5;2047;7;0;26788;PMGC East;Weekday 1;1
5;NVJimmyyyyy;Nova Esports;5;1;6;36;42;6029;0;928;400;1;18666;4;1181;3;0;30110;PMGC East;Weekday 1;1
6;NGX.HAMODY;Nigma Galaxy;5;0;3;37;40;6692;84;941;698;0;28746;5;1061;5;0;40608;PMGC East;Weekday 1;1
7;NVKinggg;Nova Esports;5;1;3;36;39;5873;153;975;272;0;18679;4;955;4;0;30313;PMGC East;Weekday 1;1
8;NGX.RAOUF;Nigma Galaxy;5;0;2;37;39;6608;0;1252;991;0;27349;5;1108;4;0;40317;PMGC East;Weekday 1;1
9;4RivalsAppy;4Rivals;5;1;10;25;35;6442;0;1228;660;2;23190;4;1740;4;0;34368;PMGC East;Weekday 1;1
10;STEYuYang;Six Two Eight;5;0;7;26;33;4768;104;1037;350;2;30574;5;1316;3;1;38244;PMGC East;Weekday 1;1
11;4RivalsR1TH;4Rivals;4;1;10;23;33;5152;58;1038;480;4;13258;4;1833;7;0;21173;PMGC East;Weekday 1;1
12;4RivalsEypu1;4Rivals;5;1;8;25;33;5730;0;1136;497;1;25358;4;1057;3;0;34379;PMGC East;Weekday 1;1
13;STE33z;Six Two Eight;5;0;6;26;32;4704;76;1109;539;0;29602;5;1294;5;1;38031;PMGC East;Weekday 1;1
14;STESuNAN;Six Two Eight;5;0;6;26;32;5000;197;1219;652;3;29096;5;1247;4;0;36583;PMGC East;Weekday 1;1
15;STE| Action2A;Stalwart Esports;3;1;9;23;32;4028;100;1006;849;1;24398;3;2320;7;0;31125;PMGC East;Weekday 1;1
16;STEDaoShi;Six Two Eight;5;0;5;26;31;5120;171;1396;658;1;29442;5;1697;3;1;37063;PMGC East;Weekday 1;1
17;STE| Skryy2A;Stalwart Esports;3;1;7;23;30;3946;165;623;657;2;20657;2;909;2;0;27797;PMGC East;Weekday 1;1
18;DXFrankyyy007;D'Xavier;4;0;9;19;28;4821;184;929;836;3;25003;4;1590;3;0;33573;PMGC East;Weekday 1;1
19;STE| Pika2A;Stalwart Esports;3;1;5;23;28;3957;241;616;402;1;22915;2;1295;2;0;30090;PMGC East;Weekday 1;1
20;TJBLon9z;Tong Jia Bao Esports;5;1;7;20;27;4460;0;1166;631;2;21970;5;1508;4;0;29581;PMGC East;Weekday 1;1
21;4RivalsPEMBURU;4Rivals;5;1;2;25;27;6286;0;1408;668;0;18129;5;696;4;0;28302;PMGC East;Weekday 1;1
22;MSC・PONDzai;MS Chonburi;5;0;10;17;27;5653;56;1209;899;0;31269;5;2020;2;2;41452;PMGC East;Weekday 1;1
23;TJBHsir;Tong Jia Bao Esports;5;1;6;20;26;4760;0;874;874;2;16465;4;756;2;0;25375;PMGC East;Weekday 1;1
24;DXTDuccc;D'Xavier;4;0;7;19;26;4696;68;915;682;0;23291;4;1374;6;0;32861;PMGC East;Weekday 1;1
25;STE| Top2A;Stalwart Esports;3;1;3;23;26;3327;38;935;562;0;20407;3;875;1;0;26193;PMGC East;Weekday 1;1
26;R8TxPRESTEGOH;Rico Infinity Team;4;1;7;18;25;4513;0;910;323;2;24166;3;1357;4;0;33304;PMGC East;Weekday 1;1
27;TJBattacker;Tong Jia Bao Esports;5;1;4;20;24;4713;0;710;300;0;21684;4;979;2;0;30556;PMGC East;Weekday 1;1
28;R8TxANAS;Rico Infinity Team;4;1;6;18;24;4724;0;722;566;1;21468;3;1092;6;0;32020;PMGC East;Weekday 1;1
29;TJBManHan;Tong Jia Bao Esports;5;1;3;20;23;4534;0;687;449;0;20140;4;552;2;0;27595;PMGC East;Weekday 1;1
30;DXLamborghini;D'Xavier;4;0;4;19;23;3449;0;935;447;1;18570;4;1078;1;0;25185;PMGC East;Weekday 1;1
