Mobil;Tahun;Jarak;Tipe;Gearbox;BBM;CC;Warna;Kapasitas;Harga
Nissan;2022;894;Dual Cab Pick-up;Manual;Diesel;2298;White;5;66888
Mazda;2022;2001;Wagon;Automatic;Unleaded Petrol;2488;Grey;7;60999
Toyota;2022;16324;Cab Chassis;Automatic;Unleaded Petrol;2694;White;2;31990
Nissan;2022;2000;Dual Cab Pick-up;Manual;Diesel;2298;White;5;41888
Nissan;2022;1452;Dual Cab Pick-up;Automatic;Diesel;2298;Grey;5;64490
Nissan;2022;3382;Dual Cab Pick-up;Automatic;Diesel;2298;Grey;5;64500
Mazda;2022;2001;Wagon;Automatic;Unleaded Petrol;2488;Grey;7;76999
Mazda;2022;1580;Wagon;Automatic;Unleaded Petrol;2488;Blue;5;47988
Mazda;2022;4493;Wagon;Automatic;Unleaded Petrol;2488;Blue;7;63888
Mazda;2022;156;Wagon;Automatic;Unleaded Petrol;2488;Black;7;66880
Hyundai;2022;45;Wagon;Automatic;Diesel;1998;White;5;52307
Hyundai;2022;45;Wagon;Automatic;Diesel;1998;Silver;5;50307
Hyundai;2022;5888;Sedan;Automatic;Premium Unleaded Petrol;1998;Blue;5;62990
Hyundai;2022;29;Wagon;Automatic;Premium Unleaded Petrol;1998;White;5;59990
Toyota;2022;82;Double Cab Chassis;Manual;Diesel;4461;Brown;5;124990
Toyota;2022;600;Wagon;Automatic;Premium Unleaded Petrol;3456;Graphite;7;58800
Toyota;2022;32;Sedan;Automatic;Premium Unleaded Petrol;2487;White;5;37888
Mazda;2022;69;Wagon;Automatic;Unleaded Petrol;2488;White;7;59962
Toyota;2022;9;Double Cab Pick Up;Automatic;Diesel;2753;Blue;5;71850
Mazda;2022;1275;Wagon;Automatic;Unleaded Petrol;2488;Gold;7;51348
Mazda;2022;2000;Wagon;Automatic;Unleaded Petrol;2488;Beige;5;56990
Mazda;2022;2785;Wagon;Automatic;Diesel;2191;Grey;5;44990
Toyota;2022;9124;Wagon;Automatic;Diesel;3346;White;7;128990
Mazda;2022;10988;Wagon;Automatic;Unleaded Petrol;2488;Red;5;55999
Hyundai;2022;6900;Wagon;Automatic;Unleaded Petrol;1598;Dark;5;42999
Nissan;2022;4024;Wagon;Automatic;Unleaded Petrol;2488;White;5;47500
Mazda;2022;9;Cab Chassis;Automatic;Diesel;1898;White;2;41300
Toyota;2022;3393;Wagon;Manual;Diesel;4461;Gold;5;117999
Toyota;2022;2827;Wagon;Automatic;Unleaded Petrol/Electric;2487;Blue;5;67888
Hyundai;2022;8401;Wagon;Automatic;Unleaded Petrol;1999;Blue;5;41888
Mazda;2022;156;Hatchback;Automatic;Unleaded Petrol;1496;Grey;5;26990
Toyota;2022;800;Double Cab Pick Up;Automatic;Diesel;2753;White;5;79990
Mazda;2022;800;Wagon;Automatic;Unleaded Petrol;2488;Blue;7;71990
Toyota;2022;280;Double Cab Pick Up;Automatic;Diesel;2753;White;5;68990
Toyota;2022;54;Wagon;Automatic;Unleaded Petrol/Electric;2487;White;5;60000
Toyota;2022;31;Wagon;Automatic;Diesel;3346;Black;7;168888
Mazda;2022;10085;Dual Cab Pick-up;Automatic;Diesel;1898;White;5;50990
Toyota;2022;122;Wagon;Automatic;Diesel;3346;White;7;136995
Hyundai;2022;350;Van;Automatic;Diesel;2199;White;2;46838
Hyundai;2022;795;Wagon;Automatic;Diesel;2199;White;8;85860
Subaru;2022;3012;Wagon;Automatic;Unleaded Petrol;2498;Blue;5;52310
Mazda;2022;6;Wagon;Automatic;Unleaded Petrol;2488;White;7;73188
Hyundai;2022;5000;Hatchback;Automatic;Unleaded Petrol;1591;Polar;5;37999
Mazda;2022;2001;Wagon;Automatic;Diesel;2191;White;7;69999
Mazda;2022;2001;Wagon;Automatic;Unleaded Petrol;2488;Grey;7;67500
Toyota;2022;486;Double Cab Pick Up;Automatic;Diesel;2753;Blue;5;84888
Suzuki;2022;15;Hatchback;Automatic;Unleaded Petrol;1373;White;5;34990
Suzuki;2022;10;Wagon;Manual;Premium Unleaded Petrol;1242;Red;5;24085
Toyota;2022;56;Van;Automatic;Diesel;2755;White;2;67777
Toyota;2022;5114;Wagon;Automatic;Unleaded Petrol/Electric;2487;Blue;5;67888
Mazda;2022;6177;Wagon;Automatic;Diesel;2191;blue;7;65000
Mazda;2022;36245;Dual Cab Pick-up;Automatic;Diesel;2999;Black;5;66490
Toyota;2022;118;Wagon;Manual;Diesel;4461;White;5;112888
Mazda;2022;800;Wagon;Automatic;Unleaded Petrol;2488;Grey;7;51490
Mazda;2022;10;Wagon;Automatic;Diesel;2191;Beige;7;58990
Nissan;2022;2142;Dual Cab Pick-up;Automatic;Diesel;2298;Grey;5;78990
Toyota;2022;36;Hatchback;Automatic;Unleaded Petrol/Electric;1490;Red;5;41750
Mazda;2022;10;Wagon;Automatic;Diesel;2191;Blue;5;58988
Toyota;2022;6283;Hatchback;Automatic;Unleaded Petrol/Electric;1798;White;5;49888
Toyota;2022;55;Wagon;Automatic;Unleaded Petrol/Electric;2487;Silver;5;62888
Nissan;2022;7000;Dual Cab Pick-up;Automatic;Diesel;2298;White;5;55000
Mazda;2022;1050;Wagon;Automatic;Diesel;2191;Red;5;51388
Toyota;2022;71;Hatchback;Automatic;Unleaded Petrol/Electric;1490;White;5;46888
Mazda;2022;7;Wagon;Automatic;Unleaded Petrol;2488;White;5;43988
Isuzu;2022;21;Crew Cab Utility;Automatic;Diesel;2999;Silver;5;62998
Mazda;2022;7;Wagon;Automatic;Unleaded Petrol;2488;White;7;59988
Suzuki;2022;820;Wagon;Automatic;Premium Unleaded Petrol;1242;Black;5;24888
